color,congruent,word,corrans,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,inverse2.thisRepN,inverse2.thisTrialN,inverse2.thisN,inverse2.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_9.keys,key_resp_9.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,space,0.133471165354,,,,,,,,,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
,,,,,,,,,,,,,,,,,,space,2.98278048789,,,,,,,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
,,,,,,,,,,,,,,,,,,,,space,2.3162251683,,,,,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
,,,,,,,,,,,,,,,,,,,,,,None,,,,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,YELLOW,z,0,0,0,0,,,,,,,,,,,,,,,,z,1,0.916607213503,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,1,RED,z,0,1,1,1,,,,,,,,,,,,,,,,z,1,0.566693537841,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,GREEN,z,0,2,2,2,,,,,,,,,,,,,,,,m,0,1.01653222803,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,RED,z,0,3,3,3,,,,,,,,,,,,,,,,x,0,0.949855408803,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,RED,n,0,4,4,4,,,,,,,,,,,,,,,,n,1,0.89997070104,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,BLUE,z,0,5,5,5,,,,,,,,,,,,,,,,z,1,0.850019780936,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,YELLOW,n,0,6,6,6,,,,,,,,,,,,,,,,n,1,0.849922448797,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,BLUE,x,0,7,7,7,,,,,,,,,,,,,,,,x,1,0.68325307846,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,BLUE,n,0,8,8,8,,,,,,,,,,,,,,,,n,1,0.71663965755,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,GREEN,z,0,9,9,9,,,,,,,,,,,,,,,,z,1,0.816652072363,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,BLUE,x,0,10,10,10,,,,,,,,,,,,,,,,x,1,0.649875769098,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,RED,z,0,11,11,11,,,,,,,,,,,,,,,,z,1,1.01644747623,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,1,BLUE,m,0,12,12,12,,,,,,,,,,,,,,,,m,1,0.883207060884,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,RED,n,0,13,13,13,,,,,,,,,,,,,,,,n,1,0.716637340118,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,RED,m,0,14,14,14,,,,,,,,,,,,,,,,m,1,0.683229573079,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,GREEN,m,0,15,15,15,,,,,,,,,,,,,,,,m,1,0.66663278802,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,GREEN,x,0,16,16,16,,,,,,,,,,,,,,,,x,1,0.533258292682,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,YELLOW,z,0,17,17,17,,,,,,,,,,,,,,,,z,1,0.783323098009,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,BLUE,z,0,18,18,18,,,,,,,,,,,,,,,,z,1,0.999867575321,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,RED,m,0,19,19,19,,,,,,,,,,,,,,,,n,0,0.766560119977,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,GREEN,m,0,20,20,20,,,,,,,,,,,,,,,,m,1,1.18313704133,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,YELLOW,z,0,21,21,21,,,,,,,,,,,,,,,,z,1,0.766577004124,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,BLUE,n,0,22,22,22,,,,,,,,,,,,,,,,n,1,1.016494487,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,1,YELLOW,x,0,23,23,23,,,,,,,,,,,,,,,,x,1,0.866558299137,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,BLUE,z,0,24,24,24,,,,,,,,,,,,,,,,z,1,0.966608123923,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,RED,n,0,25,25,25,,,,,,,,,,,,,,,,n,1,1.03316973368,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,GREEN,m,0,26,26,26,,,,,,,,,,,,,,,,m,1,0.716592315727,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,GREEN,x,0,27,27,27,,,,,,,,,,,,,,,,x,1,0.999720583927,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,YELLOW,n,0,28,28,28,,,,,,,,,,,,,,,,n,1,1.16647603031,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,YELLOW,z,0,29,29,29,,,,,,,,,,,,,,,,z,1,0.650005876345,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,GREEN,x,0,30,30,30,,,,,,,,,,,,,,,,x,1,0.766608123923,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,YELLOW,m,0,31,31,31,,,,,,,,,,,,,,,,m,1,1.49968433267,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,RED,m,0,32,32,32,,,,,,,,,,,,,,,,m,1,0.633242567251,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,GREEN,x,0,33,33,33,,,,,,,,,,,,,,,,x,1,0.949869644456,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,1,GREEN,n,0,34,34,34,,,,,,,,,,,,,,,,n,1,1.06653678013,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,RED,n,0,35,35,35,,,,,,,,,,,,,,,,n,1,0.683271948977,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,GREEN,m,0,36,36,36,,,,,,,,,,,,,,,,m,1,0.88319646691,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
