 [File Information]      		 [Data Line]	36
Measured Date	2016/09/08 11:06:36
ID	03001	Version	5.01
Name	ChiK13	[HeaderType]	5.01/2.01
Comment	
[Measurement Info.]
Holder Location	      19
Block Design	Off     
Pre.Rest Time	      60
Task Time	     120
Pos.Rest Time	      30
Loop	       1
Averaging	       1
Total Points	   10913
[.INF File]
Filename	thuong0402.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
   0.00,  0.00,  0.00,  0.00,536.00,458.00,653.00,  0.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Voltage 
Time Range	    0.00	  600.16	Averaing	1
(8,6)(3,6)(8,7)(5,6)(3,5)(5,7)(5,5)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7
Time(sec)	Task	Mark	Count	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm
     0.000	0	0Z	    0	    0.718853	    0.658122	    0.670329	    1.768063	    1.267567	    1.725948	    1.728084	    1.234302	    1.369192	    0.261692	    0.192111	    0.187839	    1.438163	    1.150378	    1.219959	    1.588922	    1.037766	    0.963607	    1.667353	    1.176318	    1.136339
     0.055	0	0	    0	    0.720684	    0.658427	    0.671550	    1.770504	    1.271839	    1.724727	    1.722591	    1.233387	    1.367056	    0.261387	    0.193332	    0.187228	    1.438163	    1.154040	    1.221485	    1.585565	    1.038682	    0.963302	    1.668269	    1.179065	    1.135424
     0.110	0	0	    0	    0.718547	    0.658427	    0.674296	    1.769589	    1.273365	    1.727779	    1.733272	    1.237659	    1.376822	    0.260777	    0.193027	    0.188144	    1.442741	    1.155871	    1.224842	    1.603265	    1.034714	    0.977951	    1.663081	    1.176013	    1.131151
     0.165	0	0	    0	    0.720378	    0.663615	    0.673075	    1.775387	    1.278553	    1.730831	    1.726558	    1.232471	    1.375601	    0.261387	    0.192721	    0.190280	    1.446098	    1.158007	    1.227283	    1.601740	    1.041733	    0.978561	    1.675288	    1.180896	    1.143664
     0.220	0	0	    0	    0.724346	    0.663920	    0.677043	    1.770809	    1.282521	    1.741512	    1.739986	    1.235523	    1.383230	    0.262303	    0.194247	    0.189975	    1.443961	    1.165332	    1.239490	    1.605707	    1.051499	    0.988632	    1.677119	    1.186389	    1.148852
     0.275	0	0	    0	    0.725566	    0.666667	    0.681315	    1.776608	    1.281605	    1.742733	    1.757076	    1.247425	    1.396353	    0.264439	    0.193332	    0.189670	    1.443961	    1.165332	    1.237964	    1.612726	    1.046616	    0.983139	    1.687190	    1.190661	    1.147021
     0.330	0	0	    0	    0.726177	    0.668803	    0.684977	    1.788815	    1.287098	    1.750973	    1.749142	    1.238270	    1.397574	    0.265354	    0.194858	    0.189975	    1.457389	    1.165637	    1.243153	    1.615167	    1.062181	    0.988937	    1.689021	    1.191577	    1.147631
     0.385	0	0	    0	    0.719768	    0.655680	    0.671855	    1.783322	    1.281910	    1.738460	    1.729305	    1.225452	    1.371023	    0.261082	    0.192721	    0.187839	    1.451591	    1.158618	    1.227893	    1.584649	    1.030442	    0.967269	    1.659419	    1.173571	    1.137865
     0.440	0	0	    0	    0.716716	    0.654154	    0.668498	    1.768063	    1.267567	    1.723201	    1.718013	    1.219654	    1.353628	    0.260777	    0.190280	    0.186618	    1.428092	    1.145190	    1.214466	    1.564813	    1.038071	    0.958419	    1.649653	    1.162890	    1.122301
