time	S1_D2_HbO	
   0.0000000e+00	  -5.4941956e-02	
   5.5000000e-02	  -1.6960859e-01	
   1.1000000e-01	  -2.7690485e-01	
   1.6500000e-01	  -3.7367714e-01	
   2.2000000e-01	  -4.5708736e-01	
   2.7500000e-01	  -5.2479870e-01	
   3.3000000e-01	  -5.7543713e-01	
   3.8500000e-01	  -6.0920017e-01	
   4.4000000e-01	  -6.2827867e-01	
   4.9500000e-01	  -6.3675950e-01	
   5.5000000e-01	  -6.3985557e-01	
   6.0500000e-01	  -6.4262266e-01	
   6.6000000e-01	  -6.4864257e-01	
   7.1500000e-01	  -6.5918087e-01	
   7.7000000e-01	  -6.7300946e-01	
   8.2500000e-01	  -6.8680566e-01	
   8.8000000e-01	  -6.9601914e-01	
   9.3500000e-01	  -6.9611381e-01	
   9.9000000e-01	  -6.8398280e-01	
   1.0450000e+00	  -6.5916739e-01	
   1.1000000e+00	  -6.2438857e-01	
   1.1550000e+00	  -5.8500531e-01	
   1.2100000e+00	  -5.4749313e-01	
   1.2650000e+00	  -5.1757049e-01	
   1.3200000e+00	  -4.9865675e-01	
   1.3750000e+00	  -4.9101459e-01	
   1.4300000e+00	  -4.9168509e-01	
   1.4850000e+00	  -4.9519753e-01	
   1.5400000e+00	  -4.9488037e-01	
   1.5950000e+00	  -4.8452810e-01	
   1.6500000e+00	  -4.6015220e-01	
   1.7050000e+00	  -4.2135064e-01	
   1.7600000e+00	  -3.7165788e-01	
   1.8150000e+00	  -3.1753411e-01	
   1.8700000e+00	  -2.6633849e-01	
   1.9250000e+00	  -2.2407315e-01	
   1.9800000e+00	  -1.9360779e-01	
   2.0350000e+00	  -1.7384258e-01	
   2.0900000e+00	  -1.6001643e-01	
   2.1450000e+00	  -1.4501178e-01	
   2.2000000e+00	  -1.2121763e-01	
   2.2550000e+00	  -8.2499003e-02	
   2.3100000e+00	  -2.5891712e-02	
   2.3650000e+00	   4.7373553e-02	
   2.4200000e+00	   1.3184025e-01	
   2.4750000e+00	   2.1883688e-01	
   2.5300000e+00	   2.9829090e-01	
   2.5850000e+00	   3.6095224e-01	
   2.6400000e+00	   4.0053380e-01	
   2.6950000e+00	   4.1521354e-01	
   2.7500000e+00	   4.0808868e-01	
   2.8050000e+00	   3.8655785e-01	
   2.8600000e+00	   3.6093217e-01	
   2.9150000e+00	   3.4257873e-01	
   2.9700000e+00	   3.4177316e-01	
   3.0250000e+00	   3.6555319e-01	
   3.0800000e+00	   4.1610062e-01	
   3.1350000e+00	   4.9011070e-01	
   3.1900000e+00	   5.7933063e-01	
   3.2450000e+00	   6.7225043e-01	
   3.3000000e+00	   7.5661793e-01	
   3.3550000e+00	   8.2201228e-01	
   3.4100000e+00	   8.6168865e-01	
   3.4650000e+00	   8.7342944e-01	
   3.5200000e+00	   8.5958332e-01	
   3.5750000e+00	   8.2643588e-01	
   3.6300000e+00	   7.8290385e-01	
   3.6850000e+00	   7.3868565e-01	
   3.7400000e+00	   7.0222479e-01	
   3.7950000e+00	   6.7893105e-01	
   3.8500000e+00	   6.7016802e-01	
   3.9050000e+00	   6.7342365e-01	
   3.9600000e+00	   6.8360461e-01	
   4.0150000e+00	   6.9485738e-01	
   4.0700000e+00	   7.0224038e-01	
   4.1250000e+00	   7.0289785e-01	
   4.1800000e+00	   6.9664308e-01	
   4.2350000e+00	   6.8589910e-01	
   4.2900000e+00	   6.7500085e-01	
   4.3450000e+00	   6.6902923e-01	
   4.4000000e+00	   6.7246443e-01	
   4.4550000e+00	   6.8789651e-01	
   4.5100000e+00	   7.1500385e-01	
   4.5650000e+00	   7.5020996e-01	
   4.6200000e+00	   7.8744618e-01	
   4.6750000e+00	   8.1983823e-01	
   4.7300000e+00	   8.4151610e-01	
   4.7850000e+00	   8.4891182e-01	
   4.8400000e+00	   8.4145330e-01	
   4.8950000e+00	   8.2172436e-01	
   4.9500000e+00	   7.9506035e-01	
   5.0050000e+00	   7.6861299e-01	
   5.0600000e+00	   7.5003821e-01	
   5.1150000e+00	   7.4594477e-01	
   5.1700000e+00	   7.6028269e-01	
   5.2250000e+00	   7.9307098e-01	
   5.2800000e+00	   8.4000601e-01	
   5.3350000e+00	   8.9327335e-01	
   5.3900000e+00	   9.4336867e-01	
   5.4450000e+00	   9.8130594e-01	
   5.5000000e+00	   1.0005505e+00	
   5.5550000e+00	   9.9825571e-01	
   5.6100000e+00	   9.7565020e-01	
   5.6650000e+00	   9.3762431e-01	
   5.7200000e+00	   8.9167843e-01	
   5.7750000e+00	   8.4639127e-01	
   5.8300000e+00	   8.0958683e-01	
   5.8850000e+00	   7.8656655e-01	
   5.9400000e+00	   7.7888674e-01	
   5.9950000e+00	   7.8398642e-01	
   6.0500000e+00	   7.9575931e-01	
   6.1050000e+00	   8.0601837e-01	
   6.1600000e+00	   8.0649378e-01	
   6.2150000e+00	   7.9069244e-01	
   6.2700000e+00	   7.5507997e-01	
   6.3250000e+00	   6.9951931e-01	
   6.3800000e+00	   6.2717222e-01	
   6.4350000e+00	   5.4398600e-01	
   6.4900000e+00	   4.5772637e-01	
   6.5450000e+00	   3.7653646e-01	
   6.6000000e+00	   3.0724534e-01	
   6.6550000e+00	   2.5390015e-01	
   6.7100000e+00	   2.1698131e-01	
   6.7650000e+00	   1.9353736e-01	
   6.8200000e+00	   1.7822628e-01	
   6.8750000e+00	   1.6493269e-01	
   6.9300000e+00	   1.4836300e-01	
   6.9850000e+00	   1.2516736e-01	
   7.0400000e+00	   9.4553548e-02	
   7.0950000e+00	   5.8462138e-02	
   7.1500000e+00	   2.1179875e-02	
   7.2050000e+00	  -1.1689767e-02	
   7.2600000e+00	  -3.4668375e-02	
   7.3150000e+00	  -4.3853558e-02	
   7.3700000e+00	  -3.7998662e-02	
   7.4250000e+00	  -1.8846469e-02	
   7.4800000e+00	   9.5255826e-03	
   7.5350000e+00	   4.2123159e-02	
   7.5900000e+00	   7.4582781e-02	
   7.6450000e+00	   1.0432809e-01	
   7.7000000e+00	   1.3115082e-01	
   7.7550000e+00	   1.5712683e-01	
   7.8100000e+00	   1.8580097e-01	
   7.8650000e+00	   2.2083143e-01	
   7.9200000e+00	   2.6453473e-01	
   7.9750000e+00	   3.1674453e-01	
   8.0300000e+00	   3.7428955e-01	
   8.0850000e+00	   4.3136308e-01	
   8.1400000e+00	   4.8084648e-01	
   8.1950000e+00	   5.1618065e-01	
   8.2500000e+00	   5.3309988e-01	
   8.3050000e+00	   5.3072259e-01	
   8.3600000e+00	   5.1180338e-01	
   8.4150000e+00	   4.8211365e-01	
   8.4700000e+00	   4.4911261e-01	
   8.5250000e+00	   4.2035404e-01	
   8.5800000e+00	   4.0210970e-01	
   8.6350000e+00	   3.9839515e-01	
   8.6900000e+00	   4.1042620e-01	
   8.7450000e+00	   4.3669568e-01	
   8.8000000e+00	   4.7382155e-01	
   8.8550000e+00	   5.1785882e-01	
   8.9100000e+00	   5.6547001e-01	
   8.9650000e+00	   6.1460144e-01	
   9.0200000e+00	   6.6471753e-01	
   9.0750000e+00	   7.1670380e-01	
   9.1300000e+00	   7.7237254e-01	
   9.1850000e+00	   8.3353762e-01	
   9.2400000e+00	   9.0090966e-01	
   9.2950000e+00	   9.7325833e-01	
   9.3500000e+00	   1.0472423e+00	
   9.4050000e+00	   1.1180857e+00	
   9.4600000e+00	   1.1809202e+00	
   9.5150000e+00	   1.2322430e+00	
   9.5700000e+00	   1.2708795e+00	
   9.6250000e+00	   1.2981689e+00	
   9.6800000e+00	   1.3175260e+00	
   9.7350000e+00	   1.3336750e+00	
   9.7900000e+00	   1.3516934e+00	
   9.8450000e+00	   1.3758743e+00	
   9.9000000e+00	   1.4085467e+00	
   9.9550000e+00	   1.4492220e+00	
   1.0010000e+01	   1.4945078e+00	
   1.0065000e+01	   1.5390230e+00	
   1.0120000e+01	   1.5770986e+00	
   1.0175000e+01	   1.6046519e+00	
   1.0230000e+01	   1.6205514e+00	
   1.0285000e+01	   1.6270233e+00	
   1.0340000e+01	   1.6290092e+00	
   1.0395000e+01	   1.6327030e+00	
   1.0450000e+01	   1.6436957e+00	
   1.0505000e+01	   1.6652431e+00	
   1.0560000e+01	   1.6971790e+00	
   1.0615000e+01	   1.7358776e+00	
   1.0670000e+01	   1.7753577e+00	
   1.0725000e+01	   1.8091478e+00	
   1.0780000e+01	   1.8322031e+00	
   1.0835000e+01	   1.8422205e+00	
   1.0890000e+01	   1.8400014e+00	
   1.0945000e+01	   1.8288791e+00	
   1.1000000e+01	   1.8135223e+00	
   1.1055000e+01	   1.7985042e+00	
   1.1110000e+01	   1.7869282e+00	
   1.1165000e+01	   1.7794249e+00	
   1.1220000e+01	   1.7739563e+00	
   1.1275000e+01	   1.7667222e+00	
   1.1330000e+01	   1.7538983e+00	
   1.1385000e+01	   1.7334168e+00	
   1.1440000e+01	   1.7060510e+00	
   1.1495000e+01	   1.6754917e+00	
   1.1550000e+01	   1.6474460e+00	
   1.1605000e+01	   1.6280600e+00	
   1.1660000e+01	   1.6222159e+00	
   1.1715000e+01	   1.6322043e+00	
   1.1770000e+01	   1.6569999e+00	
   1.1825000e+01	   1.6922774e+00	
   1.1880000e+01	   1.7313026e+00	
   1.1935000e+01	   1.7665427e+00	
   1.1990000e+01	   1.7914493e+00	
   1.2045000e+01	   1.8018783e+00	
   1.2100000e+01	   1.7968886e+00	
   1.2155000e+01	   1.7788279e+00	
   1.2210000e+01	   1.7526974e+00	
   1.2265000e+01	   1.7249339e+00	
   1.2320000e+01	   1.7018642e+00	
   1.2375000e+01	   1.6881225e+00	
   1.2430000e+01	   1.6853859e+00	
   1.2485000e+01	   1.6918501e+00	
   1.2540000e+01	   1.7027517e+00	
   1.2595000e+01	   1.7118372e+00	
   1.2650000e+01	   1.7132390e+00	
   1.2705000e+01	   1.7030855e+00	
   1.2760000e+01	   1.6804217e+00	
   1.2815000e+01	   1.6473436e+00	
   1.2870000e+01	   1.6083812e+00	
   1.2925000e+01	   1.5692501e+00	
   1.2980000e+01	   1.5353015e+00	
   1.3035000e+01	   1.5101253e+00	
   1.3090000e+01	   1.4946058e+00	
   1.3145000e+01	   1.4866095e+00	
   1.3200000e+01	   1.4815054e+00	
   1.3255000e+01	   1.4735103e+00	
   1.3310000e+01	   1.4574640e+00	
   1.3365000e+01	   1.4304536e+00	
   1.3420000e+01	   1.3928136e+00	
   1.3475000e+01	   1.3482261e+00	
   1.3530000e+01	   1.3028888e+00	
   1.3585000e+01	   1.2640228e+00	
   1.3640000e+01	   1.2382057e+00	
   1.3695000e+01	   1.2299553e+00	
   1.3750000e+01	   1.2407333e+00	
   1.3805000e+01	   1.2684321e+00	
   1.3860000e+01	   1.3075250e+00	
   1.3915000e+01	   1.3500223e+00	
   1.3970000e+01	   1.3870059e+00	
   1.4025000e+01	   1.4102675e+00	
   1.4080000e+01	   1.4137042e+00	
   1.4135000e+01	   1.3943629e+00	
   1.4190000e+01	   1.3530435e+00	
   1.4245000e+01	   1.2942782e+00	
   1.4300000e+01	   1.2255899e+00	
   1.4355000e+01	   1.1561864e+00	
   1.4410000e+01	   1.0953653e+00	
   1.4465000e+01	   1.0508587e+00	
   1.4520000e+01	   1.0273359e+00	
   1.4575000e+01	   1.0253343e+00	
   1.4630000e+01	   1.0409008e+00	
   1.4685000e+01	   1.0661873e+00	
   1.4740000e+01	   1.0910531e+00	
