time	S1_D1_HbO	S1_D2_HbO	
   0.0000000e+00	   8.8392399e+00	   4.4832434e-01	
   5.5000000e-02	   8.5682530e+00	   4.2958306e-01	
   1.1000000e-01	   8.3711345e+00	   4.2163640e-01	
   1.6500000e-01	   8.2695542e+00	   4.0596251e-01	
   2.2000000e-01	   8.2598275e+00	   3.5268681e-01	
   2.7500000e-01	   8.3344984e+00	   2.5967605e-01	
   3.3000000e-01	   8.4444777e+00	   1.6436177e-01	
   3.8500000e-01	   8.5017977e+00	   1.1907204e-01	
   4.4000000e-01	   8.4698833e+00	   1.5309767e-01	
   4.9500000e-01	   8.4122083e+00	   2.4687484e-01	
   5.5000000e-01	   8.4118736e+00	   3.4178162e-01	
   6.0500000e-01	   8.4711465e+00	   3.8783690e-01	
   6.6000000e-01	   8.5186780e+00	   3.8320072e-01	
   7.1500000e-01	   8.4886315e+00	   3.5804237e-01	
   7.7000000e-01	   8.3737554e+00	   3.2752257e-01	
   8.2500000e-01	   8.2308356e+00	   2.7624468e-01	
   8.8000000e-01	   8.1486305e+00	   1.8755814e-01	
   9.3500000e-01	   8.1850101e+00	   8.0676325e-02	
   9.9000000e-01	   8.3215866e+00	   1.5166505e-02	
   1.0450000e+00	   8.4824387e+00	   4.7287916e-02	
   1.1000000e+00	   8.5899004e+00	   1.7249676e-01	
   1.1550000e+00	   8.6018699e+00	   3.2193293e-01	
   1.2100000e+00	   8.5205438e+00	   4.2468438e-01	
   1.2650000e+00	   8.3935332e+00	   4.6069270e-01	
   1.3200000e+00	   8.2998838e+00	   4.5158229e-01	
   1.3750000e+00	   8.2975438e+00	   4.2315108e-01	
   1.4300000e+00	   8.3635382e+00	   3.8133470e-01	
   1.4850000e+00	   8.4001739e+00	   3.0984150e-01	
   1.5400000e+00	   8.3276704e+00	   1.9700182e-01	
   1.5950000e+00	   8.1801556e+00	   7.6417776e-02	
   1.6500000e+00	   8.0918705e+00	   2.4026296e-02	
   1.7050000e+00	   8.1741586e+00	   9.3103973e-02	
   1.7600000e+00	   8.4105795e+00	   2.5930204e-01	
   1.8150000e+00	   8.6707491e+00	   4.4297393e-01	
   1.8700000e+00	   8.8160585e+00	   5.7286069e-01	
   1.9250000e+00	   8.7941116e+00	   6.1822173e-01	
   1.9800000e+00	   8.6503934e+00	   5.8499052e-01	
   2.0350000e+00	   8.4727685e+00	   5.0425916e-01	
   2.0900000e+00	   8.3266633e+00	   4.1215507e-01	
   2.1450000e+00	   8.2200221e+00	   3.2800796e-01	
   2.2000000e+00	   8.1224252e+00	   2.5771149e-01	
   2.2550000e+00	   8.0267463e+00	   2.1377831e-01	
   2.3100000e+00	   7.9783248e+00	   2.1672829e-01	
   2.3650000e+00	   8.0306217e+00	   2.7771425e-01	
   2.4200000e+00	   8.1870874e+00	   3.8993275e-01	
   2.4750000e+00	   8.3944405e+00	   5.3176893e-01	
   2.5300000e+00	   8.5823942e+00	   6.6742895e-01	
   2.5850000e+00	   8.7056056e+00	   7.5363473e-01	
   2.6400000e+00	   8.7544119e+00	   7.6637231e-01	
   2.6950000e+00	   8.7384076e+00	   7.2341699e-01	
   2.7500000e+00	   8.6752427e+00	   6.6510668e-01	
   2.8050000e+00	   8.5931223e+00	   6.0904081e-01	
   2.8600000e+00	   8.5171476e+00	   5.3892942e-01	
   2.9150000e+00	   8.4484780e+00	   4.4313648e-01	
   2.9700000e+00	   8.3818532e+00	   3.4511799e-01	
   3.0250000e+00	   8.3329647e+00	   2.8865798e-01	
   3.0800000e+00	   8.3236469e+00	   3.1173328e-01	
   3.1350000e+00	   8.3606380e+00	   4.2953628e-01	
   3.1900000e+00	   8.4370338e+00	   6.1090490e-01	
   3.2450000e+00	   8.5310157e+00	   7.7699853e-01	
   3.3000000e+00	   8.6143871e+00	   8.5943126e-01	
   3.3550000e+00	   8.6770608e+00	   8.6127447e-01	
   3.4100000e+00	   8.7231074e+00	   8.3771735e-01	
   3.4650000e+00	   8.7404488e+00	   8.2268631e-01	
   3.5200000e+00	   8.6976845e+00	   7.9873820e-01	
   3.5750000e+00	   8.5794323e+00	   7.3275491e-01	
   3.6300000e+00	   8.4133464e+00	   6.1723293e-01	
   3.6850000e+00	   8.2555437e+00	   4.8428059e-01	
   3.7400000e+00	   8.1603225e+00	   3.9701024e-01	
   3.7950000e+00	   8.1614318e+00	   4.1009765e-01	
   3.8500000e+00	   8.2555356e+00	   5.1791714e-01	
